<>f__AnonymousType3`18;<>f__AnonymousType3`18.codigo;<>f__AnonymousType3`18.nombre;<>f__AnonymousType3`18.descripcion;<>f__AnonymousType3`18.categoria_id;<>f__AnonymousType3`18.categoria_nombre;<>f__AnonymousType3`18.precio;<>f__AnonymousType3`18.stock;<>f__AnonymousType3`18.activo;<>f__AnonymousType3`18.visible_catalogo;<>f__AnonymousType3`18.grupo1;<>f__AnonymousType3`18.grupo2;<>f__AnonymousType3`18.grupo3;<>f__AnonymousType3`18.fecha_alta;<>f__AnonymousType3`18.fecha_modi;<>f__AnonymousType3`18.codigo_ubicacion;<>f__AnonymousType3`18.listas_precios;<>f__AnonymousType3`18.porcentaje;<>f__AnonymousType3`18.stocks_por_empresa
"{ codigo = 07027, nombre = HARIBO x160g STARMIX, descripcion = HARIBO x160g STARMIX, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07027;"HARIBO x160g STARMIX";"HARIBO x160g STARMIX";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 2846,57, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 3074,29, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07028, nombre = PAST. BULL DOG UVA x12u, descripcion = PAST. BULL DOG UVA x12u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07028;"PAST. BULL DOG UVA x12u";"PAST. BULL DOG UVA x12u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 2740,59, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 2959,84, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07029, nombre = GOMA POTE x30u SUPER MARIO, descripcion = GOMA POTE x30u SUPER MARIO, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07029;"GOMA POTE x30u SUPER MARIO";"GOMA POTE x30u SUPER MARIO";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 5693,90, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 6149,41, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07030, nombre = CHICLE FIERITA RECARG.FRUTILLA x50u, descripcion = CHICLE FIERITA RECARG.FRUTILLA x50u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07030;"CHICLE FIERITA RECARG.FRUTILLA x50u";"CHICLE FIERITA RECARG.FRUTILLA x50u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 2106,50, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 2275,02, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 31 }]"
"{ codigo = 07031, nombre = ALF. CACHAFAZ BLANCO x6u ESTUCHE, descripcion = ALF. CACHAFAZ BLANCO x6u ESTUCHE, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07031;"ALF. CACHAFAZ BLANCO x6u ESTUCHE";"ALF. CACHAFAZ BLANCO x6u ESTUCHE";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 6618,20, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 7147,66, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07032, nombre = SKITTLES x61g ORIGINAL, descripcion = SKITTLES x61g ORIGINAL, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07032;"SKITTLES x61g ORIGINAL";"SKITTLES x61g ORIGINAL";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1567,95, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1693,38, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07034, nombre = SKITTLES x61g WILD BERRY, descripcion = SKITTLES x61g WILD BERRY, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07034;"SKITTLES x61g WILD BERRY";"SKITTLES x61g WILD BERRY";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1567,95, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1693,38, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07035, nombre = ALF.CHOCOARROZ DDL xU GALLO, descripcion = ALF.CHOCOARROZ DDL xU GALLO, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07035;"ALF.CHOCOARROZ DDL xU GALLO";"ALF.CHOCOARROZ DDL xU GALLO";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 505,22, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 545,64, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 487 }]"
"{ codigo = 07037, nombre = AJUSTE/PRECIO N/C, descripcion = AJUSTE/PRECIO N/C, categoria_id = , categoria_nombre = , precio = 0, stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07037;"AJUSTE/PRECIO N/C";"AJUSTE/PRECIO N/C";"";"";0;0;True;True;"";7;"";2025-08-15;2025-08-15;"";[];"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07039, nombre = ALF. CHOCOARROZ BLANCO xU GALLO, descripcion = ALF. CHOCOARROZ BLANCO xU GALLO, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07039;"ALF. CHOCOARROZ BLANCO xU GALLO";"ALF. CHOCOARROZ BLANCO xU GALLO";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 505,22, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 545,64, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 401 }]"
